id,title,tipo,icon,anclajes,lastUpdated,plazas,geometry
"1323,Aguarón,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8641311713381338,41.65885104093934]"""
"1330,Nobleza Baturra,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8575099571017305,41.65414707783696]"""
"1350,Isla de Mallorca,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8554354414546809,41.66425150140589]"""
"651,Campo de Beisbol Miralbueno,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.9364739306470945,41.66061247770014]"""
"1934,Desayuno con Diamantes,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:49,12,""[-0.9286736642490041,41.62468086975508]"""
"385,Parque Infantil,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,4,2025-04-22T23:05:49,4,""[-0.8623628495491654,41.651770113879216]"""
"386,Pagada A Estacion Bici.,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,2,2025-04-22T23:05:49,2,""[-0.8661360276073871,41.65278622561783]"""
"387,Cafeteria Parque,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:49,12,""[-0.8669744626413955,41.65315322275352]"""
"1878,Hortensia,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.9255129051599692,41.64089567223704]"""
"930,Via Hispanidad con Autovía Logroño,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:49,6,""[-0.922537633774418,41.658220553324185]"""
"1930,El Maquinista de la General,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.9196679199912304,41.61788409046775]"""
"1921,Paseo de los Olvidados,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.92077898558832,41.6203140772151]"""
"1917,Belle Epoque,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.9195561043629727,41.623905151010426]"""
"571,IDE Carlos Val,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.9186240442377576,41.62450771638762]"""
"1900,La Kentya,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.9188860898976731,41.639959029854175]"""
"407,Policia Local La Paz,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,7,2025-04-22T23:05:49,14,""[-0.876469675936206,41.62031373877682]"""
"408,Centro de Convivencia Las Armas,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,16,2025-04-22T23:05:49,32,""[-0.885312339869047,41.656728257442055]"""
"1503,Parque Torre Ramona,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8627772157780839,41.64124071003097]"""
"1463,Santo Domingo de Silos,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8607140114711708,41.64613412602931]"""
"713,CDM Alberto Maestro,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,4,2025-04-22T23:05:49,8,""[-0.8646109501562386,41.64996166632541]"""
"712,CEIP LAS FUENTES,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,7,2025-04-22T23:05:49,14,""[-0.8638607386822261,41.64857682384391]"""
"1160,Entrada a calle Ana Laguna,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,3,2025-04-22T23:05:49,6,""[-0.863969650060803,41.655379868085525]"""
"1161,Entrada calle Concepción Contel Barea,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,3,2025-04-22T23:05:49,6,""[-0.8635381016736338,41.65594990801646]"""
"1326,Pascuala Perie,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8622920618344606,41.66082914809241]"""
"1052,Bámbola,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,3,2025-04-22T23:05:49,12,""[-0.9021094466570824,41.672428300698336]"""
"1349,Isla de Ibiza,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8563863346210618,41.66368432533478]"""
"1055,Paseo Echegaray,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.863692946281489,41.65196309067819]"""
"19,Campo de Futbol San Juan,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8325554092106907,41.70836142409008]"""
